kind	file	title	notes	top_pitch_ratio	note_token_ratio	n_pitches	peer	recommend
suspect	Amazing_grace.txt	Amazing grace	55	0.51	0.57	6		uncertain(建议看一眼原谱)
suspect	God_is_a_girl.txt	God is a girl	269	0.50	0.91	5		uncertain(建议看一眼原谱)
suspect	Happy_Birthday_完美版.txt	Happy Birthday 完美版	317	0.74	0.76	7		likely_junk(建议隔离)
suspect	We_will_get_there.txt	We will get there	69	0.58	0.57	5		uncertain(建议看一眼原谱)
suspect	一起摇摆.txt	一起摇摆	22	0.59	0.61	5		uncertain(建议看一眼原谱)
suspect	不如这样.txt	不如这样	46	0.52	0.68	5		uncertain(建议看一眼原谱)
suspect	丝路_歌曲类.txt	丝路 歌曲类	66	0.74	0.58	6		likely_junk(建议隔离)
suspect	京歌《我爱你中国）.txt	京歌《我爱你中国）	42	0.33	0.28	6		likely_junk(建议隔离)
suspect	人人叫我唐老鸭.txt	人人叫我唐老鸭	59	0.51	0.84	5		uncertain(建议看一眼原谱)
suspect	你好_小宝贝_—.txt	你好 小宝贝 —	69	0.59	0.76	5		uncertain(建议看一眼原谱)
suspect	你好小宝贝.txt	你好小宝贝	56	0.73	0.66	4		likely_junk(建议隔离)
suspect	你的眼泪.txt	你的眼泪	164	0.51	0.74	7		uncertain(建议看一眼原谱)
suspect	公鸡和母鸡钢琴.txt	公鸡和母鸡钢琴	110	0.79	0.68	7		likely_junk(建议隔离)
suspect	其实你不懂我的心.txt	其实你不懂我的心	164	0.67	0.83	5		uncertain(建议看一眼原谱)
suspect	再生恋.txt	再生恋	219	0.56	0.49	6		uncertain(建议看一眼原谱)
suspect	冬色.txt	冬色	26	0.23	0.27	7		likely_junk(建议隔离)
suspect	十分十二寸.txt	十分十二寸	195	0.55	0.69	7		uncertain(建议看一眼原谱)
suspect	原来你什么都不想要.txt	原来你什么都不想要	170	0.55	0.82	7		uncertain(建议看一眼原谱)
suspect	口琴六级：马灯调.txt	口琴六级：马灯调	217	0.60	0.92	5		uncertain(建议看一眼原谱)
suspect	后青春期的诗.txt	后青春期的诗	38	0.50	0.95	4		uncertain(建议看一眼原谱)
suspect	听妈妈的话.txt	听妈妈的话	453	0.68	0.88	7		uncertain(建议看一眼原谱)
suspect	喔!记得.txt	喔!记得	68	0.81	0.50	5		likely_junk(建议隔离)
suspect	在生恋.txt	在生恋	230	0.70	0.50	6		uncertain(建议看一眼原谱)
suspect	外婆的澎湖湾.txt	外婆的澎湖湾	131	0.55	0.83	7		uncertain(建议看一眼原谱)
suspect	好人一生平安.txt	好人一生平安	111	0.54	0.87	5		uncertain(建议看一眼原谱)
suspect	如果没有你.txt	如果没有你	202	0.51	0.73	6		uncertain(建议看一眼原谱)
suspect	就是爱.txt	就是爱	431	0.52	0.78	7		uncertain(建议看一眼原谱)
suspect	彼之爱.txt	彼之爱	34	0.29	0.30	7		uncertain(建议看一眼原谱)
suspect	意外（尤克里里.txt	意外（尤克里里	185	0.58	0.40	3		likely_junk(建议隔离)
suspect	懒的去管.txt	懒的去管	569	0.70	0.40	7		uncertain(建议看一眼原谱)
suspect	我想去个地方.txt	我想去个地方	35	0.66	0.49	4		uncertain(建议看一眼原谱)
suspect	我爱我们家.txt	我爱我们家	58	0.50	0.88	5		uncertain(建议看一眼原谱)
suspect	我的祖国越变越美.txt	我的祖国越变越美	92	0.53	0.81	6		uncertain(建议看一眼原谱)
suspect	手机留言.txt	手机留言	93	0.71	0.62	6		likely_junk(建议隔离)
suspect	数指头.txt	数指头	34	0.53	1.00	4		uncertain(建议看一眼原谱)
suspect	春天在哪里_2.txt	春天在哪里	26	0.50	0.33	5		uncertain(建议看一眼原谱)
suspect	春雨.txt	春雨	25	0.76	0.76	4		likely_junk(建议隔离)
suspect	最伟大的作品.txt	最伟大的作品	209	0.61	0.45	7		uncertain(建议看一眼原谱)
suspect	最后的战役.txt	最后的战役	172	0.51	0.89	7		uncertain(建议看一眼原谱)
suspect	月光_3.txt	月光	20	0.50	0.77	4		uncertain(建议看一眼原谱)
suspect	木乃伊.txt	木乃伊	54	0.83	0.68	5		likely_junk(建议隔离)
suspect	木排号子.txt	木排号子	35	0.34	0.31	7		uncertain(建议看一眼原谱)
suspect	未命名-jianpujia-211190.txt	未命名-jianpujia-211190	86	0.69	0.85	5		uncertain(建议看一眼原谱)
suspect	林忆莲-爱上一个不回家的人.txt	林忆莲-爱上一个不回家的人	31	0.58	0.74	7		uncertain(建议看一眼原谱)
suspect	江河梦.txt	江河梦	24	0.62	0.52	4		uncertain(建议看一眼原谱)
suspect	海阔天空.txt	海阔天空	238	0.58	0.83	7		uncertain(建议看一眼原谱)
suspect	爱的代价_歌曲类.txt	爱的代价 歌曲类	133	0.53	0.80	6		uncertain(建议看一眼原谱)
suspect	生活之道.txt	生活之道	24	0.54	0.86	6		uncertain(建议看一眼原谱)
suspect	白水河_古老的河.txt	白水河_古老的河	49	0.65	0.58	4		uncertain(建议看一眼原谱)
suspect	看我七十二变_2.txt	看我七十二变	166	0.64	0.93	6		uncertain(建议看一眼原谱)
suspect	瞬间.txt	瞬间	190	0.53	0.88	7		uncertain(建议看一眼原谱)
suspect	离开地球表面.txt	离开地球表面	173	0.45	0.33	7		uncertain(建议看一眼原谱)
suspect	秋海.txt	秋海	48	0.58	0.45	5		uncertain(建议看一眼原谱)
suspect	草原的味道李秀军词张艺军曲.txt	草原的味道李秀军词张艺军曲	87	0.69	0.83	5		uncertain(建议看一眼原谱)
suspect	蜡花.txt	蜡花	69	0.52	0.86	5		uncertain(建议看一眼原谱)
suspect	蝴蝶.txt	蝴蝶	93	0.58	0.66	6		uncertain(建议看一眼原谱)
suspect	让心儿圈起你.txt	让心儿圈起你	99	0.61	0.79	7		uncertain(建议看一眼原谱)
suspect	让心儿圈起你_—.txt	让心儿圈起你 —	77	0.57	0.79	7		uncertain(建议看一眼原谱)
suspect	讲不出再见.txt	讲不出再见	54	0.30	0.29	5		likely_junk(建议隔离)
suspect	贝斯谱_流行曲M.txt	贝斯谱_流行曲M	429	0.51	0.89	7		uncertain(建议看一眼原谱)
suspect	贝格的新春.txt	贝格的新春	53	0.89	0.32	3		likely_junk(建议隔离)
suspect	赞美你_骆驼.txt	赞美你 骆驼	54	0.69	0.90	3		likely_junk(建议隔离)
suspect	走向新辉煌.txt	走向新辉煌	225	0.56	0.87	6		uncertain(建议看一眼原谱)
suspect	车水号子.txt	车水号子	64	0.30	0.34	7		uncertain(建议看一眼原谱)
suspect	远方的孩子.txt	远方的孩子	116	0.51	0.77	7		uncertain(建议看一眼原谱)
suspect	邓丽君_100.txt	船歌	68	0.59	0.53	6		uncertain(建议看一眼原谱)
suspect	问候歌.txt	问候歌	74	0.50	0.90	5		uncertain(建议看一眼原谱)
suspect	鸡.txt	鸡	110	0.79	0.68	7		likely_junk(建议隔离)
cross_dup_keep	NOWBOY.txt	NOWBOY					《NeW_BOY》.txt	建议保留
cross_dup_drop	《NeW_BOY》.txt	《NeW BOY》					NOWBOY.txt	可去重(会丢这条出处)
cross_dup_keep	沙湖情歌.txt	沙湖情歌					《沙湖情歌》.txt	建议保留
cross_dup_drop	《沙湖情歌》.txt	《沙湖情歌》					沙湖情歌.txt	可去重(会丢这条出处)
cross_dup_keep	不能和你一起.txt	不能和你一起					不能和你一起2.txt	建议保留
cross_dup_drop	不能和你一起2.txt	不能和你一起2					不能和你一起.txt	可去重(会丢这条出处)
